epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,143.541,1.93341,5.39806,0.00087,0.50194,0.49084,0.46212,0.25883,1.73545,1.45326,0.00092,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326,0.00996979,0.00332326
2,234.723,1.84758,1.72562,0.00082,0.55285,0.50284,0.51512,0.28694,1.73443,1.61182,0.00094,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463,0.0199039,0.00663463
3,321.217,1.96161,1.65161,0.00086,0.55253,0.51332,0.51872,0.28728,1.73807,1.41409,0.00095,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924,0.029772,0.009924
4,405.866,1.97928,1.81948,0.00093,0.50335,0.4313,0.42631,0.22479,1.92965,1.72184,0.0011,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,490.268,2.01506,1.71754,0.00094,0.60405,0.43629,0.48098,0.24372,1.94366,1.7012,0.00109,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,574.635,2.01026,1.59342,0.00092,0.56783,0.51662,0.53046,0.27792,1.79204,1.48399,0.00098,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,659.08,1.97051,1.50311,0.0009,0.47846,0.42135,0.41532,0.22448,1.80559,1.63989,0.001,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,743.322,1.92393,1.38202,0.0009,0.55505,0.50503,0.51907,0.27918,1.7862,1.32158,0.00099,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,827.582,1.90183,1.4799,0.00087,0.62592,0.51053,0.57113,0.31571,1.76367,1.31533,0.00098,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,912.2,1.95201,1.43643,0.00088,0.63821,0.51966,0.59088,0.32569,1.75738,1.26562,0.00096,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,996.877,1.86036,1.2821,0.00086,0.66076,0.54213,0.60985,0.33275,1.69998,1.30048,0.00093,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,1081.33,1.86863,1.31276,0.00087,0.62404,0.5069,0.56378,0.31279,1.70798,1.33936,0.00094,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,1165.75,1.87514,1.35089,0.00086,0.63643,0.57002,0.61418,0.33149,1.75908,1.19123,0.00096,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,1250.18,1.89195,1.30764,0.00081,0.64985,0.56496,0.60768,0.33192,1.72355,1.25351,0.00096,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,1335,1.86872,1.28472,0.00083,0.61479,0.57137,0.61471,0.34187,1.71835,1.23691,0.00094,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,1419.35,1.8703,1.24407,0.00083,0.63153,0.57163,0.61307,0.34532,1.69881,1.17191,0.00092,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,1503.78,1.84673,1.25413,0.00082,0.6636,0.56559,0.6338,0.35139,1.69251,1.18472,0.00094,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,1588.31,1.82551,1.36628,0.0008,0.65073,0.58714,0.63776,0.35893,1.66386,1.15165,0.0009,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,1672.66,1.81117,1.27222,0.00081,0.63157,0.5684,0.61836,0.35272,1.65607,1.193,0.0009,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1756.83,1.76965,1.15099,0.00078,0.65437,0.59985,0.65122,0.36359,1.69149,1.09491,0.00093,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1841.27,1.85078,1.19939,0.00086,0.64965,0.61449,0.6587,0.37049,1.67956,1.30192,0.00091,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1925.69,1.81669,1.16531,0.00083,0.66837,0.60463,0.66758,0.38328,1.65122,1.08766,0.00089,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,2010.32,1.79997,1.237,0.0008,0.65421,0.62266,0.65684,0.37055,1.65655,1.22043,0.0009,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,2094.47,1.81734,1.24053,0.00079,0.67254,0.59584,0.66723,0.38438,1.63492,1.03957,0.00087,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,2178.86,1.77208,1.25509,0.00081,0.69705,0.58592,0.66734,0.38146,1.64722,1.07777,0.00089,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,2263.4,1.77029,1.17261,0.00079,0.6541,0.63339,0.67707,0.38546,1.6413,1.06445,0.00089,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,2347.79,1.76997,1.14412,0.00077,0.64443,0.63438,0.67496,0.3898,1.65719,1.1559,0.00089,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
28,2432.09,1.79319,1.16742,0.00079,0.67562,0.57686,0.65204,0.37826,1.65712,1.07392,0.00088,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
29,2516.4,1.74886,1.12221,0.00077,0.71168,0.62612,0.69843,0.39924,1.62512,1.02683,0.00087,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
30,2598.95,1.79613,1.13047,0.00082,0.69917,0.61782,0.69365,0.39336,1.65583,1.05196,0.00089,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043,0.027129,0.009043
